CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
49039972200,UT,Sanpete,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1150,24.0,0.006366,0,3770,R,3770.00002,1.000000005,1493.472562,0.396146568,1382.000012,1.000000008,397.9999996,0.999999999,16.46666664,0.014318841,3769.356694,0.999829362,1493.251368,0.396087896,1381.78557,0.999844841,397.9999996,0.999999999,16.46666664,0.014318841,1313.493716,0.348406821,451.6160308,0.119792051,476.2661317,0.344620935,150.726068,0.378708714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49039972300,UT,Sanpete,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1234,1557.0,0.2862132,1,5440,C,4926.346851,0.905578465,2752.990343,0.506064401,1196.381476,0.892821997,470.2610665,0.832320472,35.88911586,0.029083562,3629.852609,0.667252318,2295.176343,0.421907416,732.5483268,0.546677856,313.461462,0.554799048,21.31585746,0.01727379,10.98980565,0.002020185,7.639971717,0.001404407,3.377494761,0.002520518,0.101012451,0.000178783,0.205740059,0.000166726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49039972400,UT,Sanpete,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1684,433.0,0.067614,1,6404,C,3893.120544,0.607920135,2308.450052,0.360470027,1002.255446,0.623681049,259.7447665,0.582387369,38.2896582,0.022737327,367.9294538,0.057453069,154.7612294,0.024166338,147.6501238,0.091879355,27.40856499,0.061454182,4.667942972,0.002771938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49039972500,UT,Sanpete,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1429,89.0,0.0194408,0,4578,R,2581.410015,0.563872874,1144.896992,0.250086717,835.0240622,0.547556762,342.8101453,0.521781043,16.76415795,0.011731391,1288.169928,0.281382684,560.9037019,0.12252156,366.8961134,0.240587615,185.9439154,0.283019658,7.992826524,0.005593301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49041975100,UT,Sevier,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1633,0.0,0.0,1,4705,R,3158.656924,0.671340473,1161.405221,0.246844893,1036.219717,0.689893287,363.8217598,0.61874449,20.11479157,0.012317692,2337.217707,0.496751904,834.3818997,0.177339405,759.6182477,0.505737848,288.1272278,0.490012292,12.10632905,0.007413551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49041975200,UT,Sevier,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,909,71.0,0.0257526,0,2757,R,2442.159496,0.885803227,739.7621313,0.268321411,821.4401499,0.902681483,399.55557,0.887901267,14.96263585,0.016460545,2238.118949,0.811795049,687.1585562,0.249241406,762.9730185,0.838431888,365.1725935,0.811494652,13.20354761,0.014525355,390.0000006,0.141458107,134.0931985,0.048637359,170.9999982,0.187912086,73.00000076,0.162222224,1.400630985,0.001540848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49041975300,UT,Sevier,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1700,39.0,0.0078645,0,4959,C,2371.170191,0.478154909,865.3904095,0.174509056,786.7288892,0.484438971,278.7013659,0.428112697,28.59351371,0.016819714,3.777629797,0.000761772,0.756471545,0.000152545,0.0,0.0,2.288129181,0.003514791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49041975400,UT,Sevier,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1153,172.0,0.0494395,1,3479,R,1585.593684,0.455761335,483.3071525,0.138921286,481.1329903,0.449657,211.5259465,0.422207478,24.9362862,0.021627308,827.9431615,0.237983088,235.0436545,0.067560694,261.6870139,0.244567303,132.801103,0.265072062,14.45009848,0.012532609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49041975500,UT,Sevier,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1699,19.0,0.003876,1,4902,R,4434.96223,0.904725057,1774.363099,0.361967176,1347.934966,0.90223224,734.909857,0.889721377,39.28327646,0.023121411,3438.437726,0.701435685,1368.037111,0.279077338,1053.438835,0.705113009,575.3366336,0.696533455,33.01920287,0.019434493,34.24794808,0.006986526,7.768345965,0.00158473,5.926134656,0.003966623,7.165553612,0.008675004,0.864545426,0.000508855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964101,UT,Summit,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,708,0.0,0.0,0,2052,R,2052.000008,1.000000004,557.3297038,0.271603169,655.9999995,0.999999999,240.9999998,0.999999999,9.180327968,0.012966565,2052.000008,1.000000004,557.3297038,0.271603169,655.9999995,0.999999999,240.9999998,0.999999999,9.180327968,0.012966565,1121.523107,0.546551222,374.4255255,0.18246858,325.858615,0.496735694,143.9623782,0.597354267,6.499642349,0.009180286,46.98234168,0.022895878,16.25418716,0.007921144,17.13116806,0.026114585,2.886511195,0.011977225,0.211083457,0.00029814
